Id,Source,Target,Type
0,1,0,Undirected
1,1,6,Undirected
2,1,9,Undirected
3,1,4,Undirected
4,1,0,Undirected
5,2,0,Undirected
6,2,6,Undirected
7,2,2,Undirected
8,2,5,Undirected
9,2,3,Undirected
10,3,0,Undirected
11,3,10,Undirected
12,3,3,Undirected
13,3,1,Undirected
14,3,5,Undirected
15,4,0,Undirected
16,4,4,Undirected
17,4,0,Undirected
18,4,7,Undirected
19,4,0,Undirected
20,5,0,Undirected
21,5,6,Undirected
22,5,9,Undirected
23,5,2,Undirected
24,5,1,Undirected
25,6,0,Undirected
26,6,1,Undirected
27,6,2,Undirected
28,6,1,Undirected
29,6,4,Undirected
30,7,0,Undirected
31,7,3,Undirected
32,7,2,Undirected
33,7,0,Undirected
34,7,0,Undirected
35,8,0,Undirected
36,8,2,Undirected
37,8,6,Undirected
38,8,0,Undirected
39,8,0,Undirected
40,9,0,Undirected
41,9,10,Undirected
42,9,9,Undirected
43,9,3,Undirected
44,9,8,Undirected
45,10,0,Undirected
46,10,1,Undirected
47,10,0,Undirected
48,10,4,Undirected
49,10,6,Undirected
